id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,month,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
423457,SUD-2021-3-947-33,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""AllAfrica,2021-11-18,At Least Five Dead As Sudan Forces Fire On Anti-Coup Demos  
CR  Radio Dabanga""",AllAfrica,18/11/2021,"At Least Five Dead As Sudan Forces Fire On Anti-Coup Demos  
CR  Radio Dabanga",Central Committee of Sudan Doctors,1,Omdurman town,Omdurman,Khartoum state,Omdurman district,15.636111,32.437222,POINT (32.437222 15.636111),152345,Sudan,625,Africa,1,1,11,18/11/2021,18/11/2021,0,0,1,0,1,1,1,625,
423455,SUD-2021-3-947-35,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""AllAfrica,2021-11-18,At Least Five Dead As Sudan Forces Fire On Anti-Coup Demos  
CR  Radio Dabanga""",AllAfrica,18/11/2021,"At Least Five Dead As Sudan Forces Fire On Anti-Coup Demos  
CR  Radio Dabanga",Central Committee of Sudan Doctors,1,Bahri/ Khartoum North town,Bahri,Khartoum state,Bahri district,15.6454,32.54505,POINT (32.54505 15.6454),152346,Sudan,625,Africa,1,1,11,18/11/2021,18/11/2021,0,0,1,0,1,1,1,625,
423461,SUD-2021-3-947-31,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,15,"""Reuters News,2021-11-17,Two protesters shot dead in Khartoum - Doctors Committee"";""Agence France Presse,2021-11-17,Two Sudan anti-coup protesters shot dead: medics"";""Agence France Presse,2021-11-17,Death toll rises to five in Sudan anti-coup protest: medics"";""Agence France Presse,2021-11-17,Five shot dead as thousands protest against Sudan coup"";""Agence France Presse,2021-11-17,10 dead in Sudan anti-coup protests: new toll"";""Agence France Presse,2021-11-17,14 killed in Sudan anti-coup protest crackdown: new toll"";""Reuters News,2021-11-18,At least 15 people shot dead in anti-coup protests in Sudan, medics say"";""BBC Monitoring Africa,2021-11-18,BBCM Africa Watchlist for 18 November"";""Sudan Tribune,2021-11-18,15 people killed in Sudan’s protests of 17 November"";""Amnesty International,2021-11-24,Sudan: Investigate the killings of people after military crackdown against protesters"";""Human Rights Watch,2021-11-23,Sudan: Security Forces Use Lethal Force on Protesters"";""UN Security Council,2021-12-03,Report of the Secretary-General S/2021/1008"";""Crisiswatch,2021-12-01,Sudan NOVEMBER 2021"";""Africa Research Bulletin,2021-12-14,SUDAN: Civilian Premier Reinstated"";""Africa Research Bulletin,2021-12-14,Sudan Timeline: Developments since the October Coup""",Reuters News;Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse;Reuters News;BBC Monitoring Africa;Sudan Tribune;Amnesty International;Human Rights Watch;UN Security Council;Crisiswatch;Africa Research Bulletin;Africa Research Bulletin,2021-11-17;2021-11-17;2021-11-17;2021-11-17;2021-11-17;2021-11-17;2021-11-18;2021-11-18;2021-11-18;2021-11-24;2021-11-23;2021-12-03;2021-12-01;2021-12-14;2021-12-14,"Two protesters shot dead in Khartoum - Doctors Committee;Two Sudan anti-coup protesters shot dead: medics;Death toll rises to five in Sudan anti-coup protest: medics;Five shot dead as thousands protest against Sudan coup;10 dead in Sudan anti-coup protests: new toll;14 killed in Sudan anti-coup protest crackdown: new toll;At least 15 people shot dead in anti-coup protests in Sudan, medics say;BBCM Africa Watchlist for 18 November;15 people killed in Sudan’s protests of 17 November;Sudan: Investigate the killings of people after military crackdown against protesters;Sudan: Security Forces Use Lethal Force on Protesters;Report of the Secretary-General S/2021/1008;Sudan NOVEMBER 2021;SUDAN: Civilian Premier Reinstated;Sudan Timeline: Developments since the October Coup",Central Doctors Committee,1,Omdurman town,Omdurman,Khartoum state,Omdurman district,15.636111,32.437222,POINT (32.437222 15.636111),152345,Sudan,625,Africa,1,1,11,17/11/2021,17/11/2021,0,0,2,0,2,2,2,625,
423479,SUD-2021-3-947-36,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,6,"""Reuters News,2021-11-21,One dead from gunshot wound to the head in Sudan protests - doctors"";""Agence France Presse,2021-11-21,Sudan PM Hamdok reinstated after coup, protester killed"";""Reuters News,2021-11-21,One dead from gunshot wound to the head in Sudan protests - doctors"";""ACJPS,2021-12-09,Sudan coup update: 140 political detainees released amidst violent crackdown on anti coup protests"";""AllAfrica,2021-11-26,Sudan Coup Death Toll Climbs to 42  
CR  Radio Dabanga"";""Africa Research Bulletin,2021-12-14,SUDAN: Civilian Premier Reinstated""",Reuters News;Agence France Presse;Reuters News;ACJPS;AllAfrica;Africa Research Bulletin,2021-11-21;2021-11-21;2021-11-21;2021-12-09;2021-11-26;2021-12-14,"One dead from gunshot wound to the head in Sudan protests - doctors;Sudan PM Hamdok reinstated after coup, protester killed;One dead from gunshot wound to the head in Sudan protests - doctors;Sudan coup update: 140 political detainees released amidst violent crackdown on anti coup protests;Sudan Coup Death Toll Climbs to 42  
CR  Radio Dabanga;SUDAN: Civilian Premier Reinstated",Central Committee of Sudanese Doctor; ACJPS,1,Omdurman town,Omdurman,Khartoum state,Omdurman district,15.636111,32.437222,POINT (32.437222 15.636111),152345,Sudan,625,Africa,1,1,11,21/11/2021,21/11/2021,0,0,2,0,2,2,2,625,
423484,SUD-2021-2-17022-4,2021,TRUE,Clear,2,17022,15513,Misseriya - Arab,17022,17022,Misseriya - Arab,1025,1025,Misseriya,1012,1012,Arab,12,"""AllAfrica,2021-11-25,Darfur Refugees in Chad Desperate and Destitute  
CR  Radio Dabanga"";""Agence France Presse,2021-11-25,35 killed in clashes in Sudan's restive Darfur: officials"";""Agence France Presse,2021-11-25,43 killed in clashes in Sudan's restive Darfur: UN"";""Sudan Tribune,2021-11-28,24 people killed in Jebel Moon tribal violence: Darfur acting governor"";""Xinhua News Agency,2021-11-25,2nd LD-Writethru: At least 43 people killed, 46 villages burned, looted in Sudan's Darfur region: OCHA"";""AllAfrica,2021-11-30,Humanitarian Tragedy Deepens After West Darfur Violence  
CR  Radio Dabanga"";""ACJPS,2021-12-02,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs"";""Crisiswatch,2021-12-01,Sudan NOVEMBER 2021"";""Africa Research Bulletin,2021-12-14,SUDAN: Civilian Premier Reinstated"";""Human Rights Watch,2021-12-14,Sudan: New Wave of Attacks in Darfur"";""Sudan Tribune,2021-12-15,HRW calls to deploy UN monitors in Darfur: statement"";""Africa Research Bulletin,2022-01-18,SUDAN: Anti-Coup Rallies""",AllAfrica;Agence France Presse;Agence France Presse;Sudan Tribune;Xinhua News Agency;AllAfrica;ACJPS;Crisiswatch;Africa Research Bulletin;Human Rights Watch;Sudan Tribune;Africa Research Bulletin,2021-11-25;2021-11-25;2021-11-25;2021-11-28;2021-11-25;2021-11-30;2021-12-02;2021-12-01;2021-12-14;2021-12-14;2021-12-15;2022-01-18,"Darfur Refugees in Chad Desperate and Destitute  
CR  Radio Dabanga;35 killed in clashes in Sudan's restive Darfur: officials;43 killed in clashes in Sudan's restive Darfur: UN;24 people killed in Jebel Moon tribal violence: Darfur acting governor;2nd LD-Writethru: At least 43 people killed, 46 villages burned, looted in Sudan's Darfur region: OCHA;Humanitarian Tragedy Deepens After West Darfur Violence  
CR  Radio Dabanga;Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs;Sudan NOVEMBER 2021;SUDAN: Civilian Premier Reinstated;Sudan: New Wave of Attacks in Darfur;HRW calls to deploy UN monitors in Darfur: statement;SUDAN: Anti-Coup Rallies",Misseriya tribesman; ACJPS; HRW,3,Jebel Moon district,"Jebel Moon 

46 villages, including Um Siyala, Sawani, Arga, Goz Minu, Hashaba, Hillat Tayeb, Hejlija, Mino Kara, and Hillet Aween
.",West Darfur state,Jebel Moon district,14.145282,22.709421,POINT (22.709421 14.145282),150166,Sudan,625,Africa,2,2,11,17/11/2021,21/11/2021,0,0,0,50,50,50,24,,
423496,SUD-2021-3-947-37,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,2,"""Reuters News,2021-11-30,UPDATE 5-Sudan security forces fire tear gas at march against military rule"";""AllAfrica,2021-12-01,Sudan Marches of the Millions - New Police Violence Today  
CR  Radio Dabanga""",Reuters News;AllAfrica,2021-11-30;2021-12-01,"UPDATE 5-Sudan security forces fire tear gas at march against military rule;Sudan Marches of the Millions - New Police Violence Today  
CR  Radio Dabanga",,1,Khartoum city,Khartoum,Khartoum state,Khartoum district,15.588056,32.534167,POINT (32.534167 15.588056),152346,Sudan,625,Africa,1,2,11,25/11/2021,30/11/2021,0,0,1,0,1,1,1,625,
423554,MLI-2021-2-10264-3,2021,FALSE,Clear,2,10264,9654,Arab - Zaghawa,10264,10264,Arab - Zaghawa,1012,1012,Arab,705,705,Zaghawa,1,"""ACJPS,2021-12-02,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs""",ACJPS,02/12/2021,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs,ACJPS,2,Mastura village,"Mastura neighborhood in Kulbus locality,",West Darfur state,Kulbus district,14.546481,22.463058,POINT (22.463058 14.546481),150885,Sudan,625,Africa,1,1,10,24/10/2021,24/10/2021,0,5,0,0,5,5,5,,
423559,SUD-2021-2-17021-0,2021,FALSE,Clear,2,17021,15512,Misseriya Jebel  - Rizeigat,17021,17021,Misseriya Jebel  - Rizeigat,7416,7416,Misseriya Jebel,3909,3909,Rizeigat,1,"""ACJPS,2021-12-02,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs""",ACJPS,02/12/2021,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs,ACJPS,2,Sileia area,"Um Khrouba village, Selia neighborhood",West Darfur state,Jebel Moon district,13.989236,22.592496,POINT (22.592496 13.989236),149446,Sudan,625,Africa,1,4,9,15/09/2021,09/10/2021,0,3,0,0,3,3,3,,
423565,SUD-2021-2-17022-0,2021,TRUE,Clear,2,17022,15513,Misseriya - Arab,17022,17022,Misseriya - Arab,1025,1025,Misseriya,1012,1012,Arab,1,"""ACJPS,2021-12-02,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs""",ACJPS,02/12/2021,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs,ACJPS,2,Sileia area,Selia neighborhood in Jabaal Moon,West Darfur state,Jebel Moon district,13.989236,22.592496,POINT (22.592496 13.989236),149446,Sudan,625,Africa,1,1,11,11/11/2021,11/11/2021,0,0,0,1,1,1,1,,
423566,SUD-2021-2-17022-1,2021,TRUE,Clear,2,17022,15513,Misseriya - Arab,17022,17022,Misseriya - Arab,1025,1025,Misseriya,1012,1012,Arab,1,"""ACJPS,2021-12-02,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs""",ACJPS,02/12/2021,Security deteriorates in Darfur following surge in attacks by armed militias against civilians and IDPs,ACJPS,3,Jebel Moon district,Jabaal Moon,West Darfur state,Jebel Moon district,14.145282,22.709421,POINT (22.709421 14.145282),150166,Sudan,625,Africa,1,1,11,13/11/2021,13/11/2021,0,0,0,1,1,1,1,,
425870,MLI-2021-2-10278-5,2021,TRUE,Clear,2,10278,9668,Arab - Masalit,10278,10278,Arab - Masalit,1012,1012,Arab,993,993,Masalit,4,"""Agence France Presse,2021-12-06,Almost 50 killed in Sudan Darfur tribal clashes: officials"";""AllAfrica,2021-12-07,Camp Burns in Deadly West Darfur Attack  
CR  Radio Dabanga"";""AllAfrica,2021-12-07,Dozens Killed in Renewed West Darfur Clashes"";""ACJPS,2021-12-21,Conflicting tribes in Jabaal moon sign a non-aggression pact as security continues to deteriorate in Darfur region""",Agence France Presse;AllAfrica;AllAfrica;ACJPS,2021-12-06;2021-12-07;2021-12-07;2021-12-21,"Almost 50 killed in Sudan Darfur tribal clashes: officials;Camp Burns in Deadly West Darfur Attack  
CR  Radio Dabanga;Dozens Killed in Renewed West Darfur Clashes;Conflicting tribes in Jabaal moon sign a non-aggression pact as security continues to deteriorate in Darfur region",West Darfur governor and the Doctors' Committee; ACJPS,2,Al Kereinik village,Krink area,West Darfur state,Kereinik district,13.36632,22.88329,POINT (22.88329 13.36632),148726,Sudan,625,Africa,1,1,12,04/12/2021,04/12/2021,5,3,0,0,8,8,8,,
425871,MLI-2021-2-10278-6,2021,TRUE,Clear,2,10278,9668,Arab - Masalit,10278,10278,Arab - Masalit,1012,1012,Arab,993,993,Masalit,12,"""ACJPS,2021-12-21,Conflicting tribes in Jabaal moon sign a non-aggression pact as security continues to deteriorate in Darfur region"";""Human Rights Watch,2021-12-14,Sudan: New Wave of Attacks in Darfur"";""Crisiswatch,2022-01-01,Sudan DECEMBER 2021"";""AllAfrica,2021-12-07,Dozens Killed in Renewed West Darfur Clashes"";""AllAfrica,2021-12-07,Camp Burns in Deadly West Darfur Attack  
CR  Radio Dabanga"";""Agence France Presse,2021-12-06,Almost 50 killed in Sudan Darfur tribal clashes: officials"";""AllAfrica,2021-12-14,200 Now Confirmed Dead in West Darfur Militia Attacks  
CR  Radio Dabanga"";""Reuters News,2021-12-09,Aid groups warn of rise in Darfur violence, dozens killed"";""Reuters News,2021-12-09,Aid groups warn of rise in Darfur violence, dozens killed in Kreinik"";""AllAfrica,2021-12-08,West Darfur Violence Claims 48 Lives  
CR  Radio Dabanga"";""Sudan Tribune,2021-12-09,IDP accuse RSF fighters of participating in West Darfur attacks"";""Sudan Tribune,2021-12-15,HRW calls to deploy UN monitors in Darfur: statement""",ACJPS;Human Rights Watch;Crisiswatch;AllAfrica;AllAfrica;Agence France Presse;AllAfrica;Reuters News;Reuters News;AllAfrica;Sudan Tribune;Sudan Tribune,2021-12-21;2021-12-14;2022-01-01;2021-12-07;2021-12-07;2021-12-06;2021-12-14;2021-12-09;2021-12-09;2021-12-08;2021-12-09;2021-12-15,"Conflicting tribes in Jabaal moon sign a non-aggression pact as security continues to deteriorate in Darfur region;Sudan: New Wave of Attacks in Darfur;Sudan DECEMBER 2021;Dozens Killed in Renewed West Darfur Clashes;Camp Burns in Deadly West Darfur Attack  
CR  Radio Dabanga;Almost 50 killed in Sudan Darfur tribal clashes: officials;200 Now Confirmed Dead in West Darfur Militia Attacks  
CR  Radio Dabanga;Aid groups warn of rise in Darfur violence, dozens killed;Aid groups warn of rise in Darfur violence, dozens killed in Kreinik;West Darfur Violence Claims 48 Lives  
CR  Radio Dabanga;IDP accuse RSF fighters of participating in West Darfur attacks;HRW calls to deploy UN monitors in Darfur: statement",West Darfur governor and the Doctors' Committee; a medical assistant at Kirenik Hospital; witnesses; Central Committee of Sudan Doctors; Acting Governor of West Darfur; camp leader,3,Kereinik district,"Krink area 

Abuja camp 

The Masalit, Arabs, Dajo and Bargo tribes inhabit Kirinik locality",West Darfur state,Kereinik district,13.334499,22.733947,POINT (22.733947 13.334499),148726,Sudan,625,Africa,1,1,12,05/12/2021,05/12/2021,0,0,0,88,88,88,88,,
425900,SUD-2021-2-16976-1,2021,TRUE,Clear,2,16976,15470,Dar Ali (Hawazma) - Kenana,16976,16976,Dar Ali (Hawazma) - Kenana,8099,8099,Dar Ali (Hawazma),8137,8137,Kenana,3,"""AllAfrica,2021-12-09,♦ Sudan - This Week's News in Brief ♦  
CR  Radio Dabanga"";""HUDO Centre,2021-12-15,MANY PEOPLE KILLED AND OTHERS INJURED OVER TRIBAL FIGHTS IN ABU-JIBAIHA, SUDAN"";""Crisiswatch,2022-01-01,Sudan DECEMBER 2021""",AllAfrica;HUDO Centre;Crisiswatch,2021-12-09;2021-12-15;2022-01-01,"♦ Sudan - This Week's News in Brief ♦  
CR  Radio Dabanga;MANY PEOPLE KILLED AND OTHERS INJURED OVER TRIBAL FIGHTS IN ABU-JIBAIHA, SUDAN;Sudan DECEMBER 2021",reports; CrisisWatch; HUDO Centre,2,Abu Jabaiha town,Jabourna,South Kordofan state,Abu Jubaiha district,11.4562,31.2285,POINT (31.2285 11.4562),145863,Sudan,625,Africa,1,1,12,01/12/2021,01/12/2021,13,6,0,0,19,19,19,,
425904,SUD-2021-2-17022-2,2021,TRUE,Clear,2,17022,15513,Misseriya - Arab,17022,17022,Misseriya - Arab,1025,1025,Misseriya,1012,1012,Arab,6,"""Sudan Tribune,2021-12-09,IDP accuse RSF fighters of participating in West Darfur attacks"";""Reuters News,2021-12-09,Aid groups warn of rise in Darfur violence, dozens killed"";""AllAfrica,2021-12-14,200 Now Confirmed Dead in West Darfur Militia Attacks  
CR  Radio Dabanga"";""Crisiswatch,2022-01-01,Sudan DECEMBER 2021"";""Norwegian Refugee Council,2021-12-08,Sudan: Continued conflict in Darfur causes massive displacements"";""ACJPS,2021-12-21,Conflicting tribes in Jabaal moon sign a non-aggression pact as security continues to deteriorate in Darfur region""",Sudan Tribune;Reuters News;AllAfrica;Crisiswatch;Norwegian Refugee Council;ACJPS,2021-12-09;2021-12-09;2021-12-14;2022-01-01;2021-12-08;2021-12-21,"IDP accuse RSF fighters of participating in West Darfur attacks;Aid groups warn of rise in Darfur violence, dozens killed;200 Now Confirmed Dead in West Darfur Militia Attacks  
CR  Radio Dabanga;Sudan DECEMBER 2021;Sudan: Continued conflict in Darfur causes massive displacements;Conflicting tribes in Jabaal moon sign a non-aggression pact as security continues to deteriorate in Darfur region",Spokesperson for the IDPs and Refugees Coordination; West Darfur Doctors Committee; ACJPS,3,Jebel Moon district,Jebel Moon,West Darfur state,Jebel Moon district,14.145282,22.709421,POINT (22.709421 14.145282),150166,Sudan,625,Africa,1,1,12,08/12/2021,08/12/2021,0,0,0,25,25,25,25,,
425909,SUD-2021-2-17022-3,2021,TRUE,Clear,2,17022,15513,Misseriya - Arab,17022,17022,Misseriya - Arab,1025,1025,Misseriya,1012,1012,Arab,3,"""Reuters News,2021-12-09,Aid groups warn of rise in Darfur violence, dozens killed"";""Crisiswatch,2022-01-01,Sudan DECEMBER 2021"";""Dabaga Sudan,2021-12-10,At least 138 have died in ongoing West Darfur attacks while Jebel Moon leaders sign non-aggression pledge""",Reuters News;Crisiswatch;Dabaga Sudan,2021-12-09;2022-01-01;2021-12-10,"Aid groups warn of rise in Darfur violence, dozens killed;Sudan DECEMBER 2021;At least 138 have died in ongoing West Darfur attacks while Jebel Moon leaders sign non-aggression pledge",West Darfur Doctors Committee,3,Sirba district,"village of Tanjikei in Sirba locality, adjacent to Jebel Moon locality.",West Darfur state,Sirba district,13.81916,22.239371,POINT (22.239371 13.81916),149445,Sudan,625,Africa,1,2,12,07/12/2021,09/12/2021,0,0,0,8,8,8,8,,
425913,MLI-2021-2-10278-7,2021,TRUE,Clear,2,10278,9668,Arab - Masalit,10278,10278,Arab - Masalit,1012,1012,Arab,993,993,Masalit,1,"""AllAfrica,2021-12-14,200 Now Confirmed Dead in West Darfur Militia Attacks  
CR  Radio Dabanga""",AllAfrica,14/12/2021,"200 Now Confirmed Dead in West Darfur Militia Attacks  
CR  Radio Dabanga",testimonies of native administration leaders,2,Azirni village,"area of Jaflo

north-east of Azerni",West Darfur state,Kereinik district,13.49,22.69,POINT (22.69 13.49),148726,Sudan,625,Africa,1,1,12,10/12/2021,10/12/2021,0,0,0,6,6,6,6,,
425921,SUD-2021-3-947-22,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,10,"""Xinhua News Agency,2021-12-19,Sudanese protesters reach presidential palace to demand civilian rule: report"";""Sudan Tribune,2021-12-19,Sudanese committees say one protester was killed, but gov’t denies"";""Reuters News,2021-12-20,Sudan doctors' committee says one shot dead in protests on Sunday"";""Reuters News,2021-12-20,Sudanese medics say one man shot dead, more than 300 injured in Sunday's protests"";""Reuters News,2021-12-20,SUDANESE DOCTOR'S COMMITTEE SAYS ONE PERSON WAS SHOT AND KILLED IN PROTESTS ON SUNDAY - TWEET"";""Agence France Presse,2021-12-20,One killed in Sudan protests, 125 wounded: medics, ministry"";""AllAfrica,2021-12-21,Sudan December 19 Demos Reach Republican Palace Despite SAF/RSF Blockades  
CR  Radio Dabanga"";""UNHCHR,2021-12-21,Press briefing notes on Sudan protests "";""Crisiswatch,2022-01-01,Sudan DECEMBER 2021"";""Africa Research Bulletin,2022-01-18,SUDAN: Anti-Coup Rallies""",Xinhua News Agency;Sudan Tribune;Reuters News;Reuters News;Reuters News;Agence France Presse;AllAfrica;UNHCHR;Crisiswatch;Africa Research Bulletin,2021-12-19;2021-12-19;2021-12-20;2021-12-20;2021-12-20;2021-12-20;2021-12-21;2021-12-21;2022-01-01;2022-01-18,"Sudanese protesters reach presidential palace to demand civilian rule: report;Sudanese committees say one protester was killed, but gov’t denies;Sudan doctors' committee says one shot dead in protests on Sunday;Sudanese medics say one man shot dead, more than 300 injured in Sunday's protests;SUDANESE DOCTOR'S COMMITTEE SAYS ONE PERSON WAS SHOT AND KILLED IN PROTESTS ON SUNDAY - TWEET;One killed in Sudan protests, 125 wounded: medics, ministry;Sudan December 19 Demos Reach Republican Palace Despite SAF/RSF Blockades  
CR  Radio Dabanga;Press briefing notes on Sudan protests ;Sudan DECEMBER 2021;SUDAN: Anti-Coup Rallies",Sudanese Doctors' Committee; ARB,3,Sharq El Nile district,Sharg al-Nile area,Khartoum state,Sharq El Nile district,15.77,33.56,POINT (33.56 15.77),152348,Sudan,625,Africa,1,1,12,19/12/2021,19/12/2021,0,0,1,0,1,1,1,625,
425937,SUD-2021-3-947-19,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,2,"""Sudan Tribune,2021-12-20,Sudanese army militiamen kill farmer in South Kordofan"";""HUDO Centre,2021-12-20,PDF KILLED A FARMER AND FRIGHTENED RESIDENTS OF KADBAR, SUDAN""",Sudan Tribune;HUDO Centre,2021-12-20;2021-12-20,"Sudanese army militiamen kill farmer in South Kordofan;PDF KILLED A FARMER AND FRIGHTENED RESIDENTS OF KADBAR, SUDAN",HUDO,2,Umm Berembeita village,on their way to Kadbar village from Umbrembeta,South Kordofan state,Rashad district,11.85,30.66667,POINT (30.66667 11.85),146582,Sudan,625,Africa,1,1,12,10/12/2021,10/12/2021,0,0,1,0,1,1,1,625,
425943,SUD-2021-3-947-23,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,6,"""Reuters News,2021-12-21,U.N. reports 13 rape allegations during Sudan protests"";""Agence France Presse,2021-12-21,Second death, rapes reported at Sudan's mass protest Sunday"";""AllAfrica,2021-12-22,UN Confirms Second Death, Multiple Rapes in Crackdown  
CR  Deutsche Welle"";""UNHCHR,2021-12-21,Press briefing notes on Sudan protests "";""Crisiswatch,2022-01-01,Sudan DECEMBER 2021"";""Africa Research Bulletin,2022-01-18,SUDAN: Anti-Coup Rallies""",Reuters News;Agence France Presse;AllAfrica;UNHCHR;Crisiswatch;Africa Research Bulletin,2021-12-21;2021-12-21;2021-12-22;2021-12-21;2022-01-01;2022-01-18,"U.N. reports 13 rape allegations during Sudan protests;Second death, rapes reported at Sudan's mass protest Sunday;UN Confirms Second Death, Multiple Rapes in Crackdown  
CR  Deutsche Welle;Press briefing notes on Sudan protests ;Sudan DECEMBER 2021;SUDAN: Anti-Coup Rallies",Central Committee of Sudanese Doctors; ARB,1,Omdurman town,Omdurman,Khartoum state,Omdurman district,15.636111,32.437222,POINT (32.437222 15.636111),152345,Sudan,625,Africa,1,1,12,19/12/2021,19/12/2021,0,0,1,0,1,1,1,625,
425968,SUD-2021-3-947-20,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""AllAfrica,2021-12-29,North Darfur Village Raids Leave Two Dead  
CR  Radio Dabanga""",AllAfrica,29/12/2021,"North Darfur Village Raids Leave Two Dead  
CR  Radio Dabanga",Residents,2,Tawila town,areas of Kolo and Kerala in Tawila locality,North Darfur state,Tawila district,13.517025,24.860859,POINT (24.860859 13.517025),149450,Sudan,625,Africa,1,1,12,26/12/2021,26/12/2021,0,0,2,0,2,2,2,625,
425977,SUD-2021-3-947-38,2021,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,3,"""Reuters News,2021-12-31,Five killed in protests against military rule in Sudan, doctors say"";""Reuters News,2021-12-31,Death toll in latest day of protests in Sudan rises to five - medics"";""Africa Research Bulletin,2022-01-18,SUDAN: Anti-Coup Rallies""",Reuters News;Reuters News;Africa Research Bulletin,2021-12-31;2021-12-31;2022-01-18,"Five killed in protests against military rule in Sudan, doctors say;Death toll in latest day of protests in Sudan rises to five - medics;SUDAN: Anti-Coup Rallies",a doctors' committee,4,Khartoum state,,Khartoum state,,15.8,33,POINT (33 15.8),152347,Sudan,625,Africa,1,1,12,30/12/2021,30/12/2021,0,0,1,0,1,1,1,625,
425992,SUD-2021-2-16976-4,2021,TRUE,Clear,2,16976,15470,Dar Ali (Hawazma) - Kenana,16976,16976,Dar Ali (Hawazma) - Kenana,8099,8099,Dar Ali (Hawazma),8137,8137,Kenana,1,"""HUDO Centre,2022-01-11,FARMER FOUND DEAD AT HIS FARM NEAR ABU-JIBAIHA, SUDAN""",HUDO Centre,11/01/2022,"FARMER FOUND DEAD AT HIS FARM NEAR ABU-JIBAIHA, SUDAN",HUDO Centre,2,Abu Jabaiha town,in Delaibat village near Abu-Jibaiha town,South Kordofan state,Abu Jubaiha district,11.4562,31.2285,POINT (31.2285 11.4562),145863,Sudan,625,Africa,1,1,12,28/12/2021,28/12/2021,0,1,0,0,1,1,0,,
425993,SUD-2021-2-16976-0,2021,TRUE,Clear,2,16976,15470,Dar Ali (Hawazma) - Kenana,16976,16976,Dar Ali (Hawazma) - Kenana,8099,8099,Dar Ali (Hawazma),8137,8137,Kenana,3,"""AllAfrica,2021-12-09,♦ Sudan - This Week's News in Brief ♦  
CR  Radio Dabanga"";""Crisiswatch,2022-01-01,Sudan DECEMBER 2021"";""HUDO Centre,2021-12-15,MANY PEOPLE KILLED AND OTHERS INJURED OVER TRIBAL FIGHTS IN ABU-JIBAIHA, SUDAN""",AllAfrica;Crisiswatch;HUDO Centre,2021-12-09;2022-01-01;2021-12-15,"♦ Sudan - This Week's News in Brief ♦  
CR  Radio Dabanga;Sudan DECEMBER 2021;MANY PEOPLE KILLED AND OTHERS INJURED OVER TRIBAL FIGHTS IN ABU-JIBAIHA, SUDAN",reports; CrisisWatch; HUDO Centre,2,Abu Jabaiha town,around Jabarouna,South Kordofan state,Abu Jubaiha district,11.4562,31.2285,POINT (31.2285 11.4562),145863,Sudan,625,Africa,1,1,11,30/11/2021,30/11/2021,0,2,0,0,2,2,2,,
